TREE_ID,OBJECTID,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
22980,4264,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Good,ROW,,3112496.012579999864101,10070885.242300000041723
22981,4265,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,23,Good,ROW,,3112477.650080000050366,10070891.261299999430776
22982,4266,500 W 5TH ST,Ulmus crassifolia,Cedar Elm,4,8,Poor,ROW,,3112457.595989999826998,10070896.910299999639392
22983,4267,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,8,23,Fair,ROW,,3112335.820640000049025,10070942.333399999886751
22984,4268,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,9,23,Good,ROW,,3112314.904670000076294,10070947.963600000366569
22985,4269,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,9,23,Good,ROW,,3112255.255189999938011,10070967.022700000554323
22986,4270,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,5,23,Good,ROW,,3112227.229650000110269,10070972.597100000828505
22987,4271,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,4,23,Fair,ROW,,3112150.466020000167191,10070991.247300000861287
22988,4272,600 W 5TH ST,Ulmus parvifolia,Chinese Elm,5,23,Fair,ROW,,3112135.764279999770224,10070994.390100000426173
22989,4273,700 W 5TH ST,Quercus virginiana,Southern Live Oak,14,23,Good,ROW,,3112008.001089999917895,10071030.593399999663234
22990,4274,700 W 5TH ST,Quercus virginiana,Southern Live Oak,12,23,Fair,ROW,,3111976.725560000166297,10071039.732499999925494
22991,4275,700 W 5TH ST,Quercus virginiana,Southern Live Oak,11,23,Fair,ROW,,3111953.798440000042319,10071045.853199999779463
22992,4276,700 W 5TH ST,Quercus virginiana,Southern Live Oak,12,23,Fair,ROW,,3111922.465820000041276,10071056.104800000786781
22993,4277,700 W 5TH ST,Quercus virginiana,Southern Live Oak,10,23,Good,ROW,,3111867.287459999788553,10071073.110999999567866
22994,4278,700 W 5TH ST,Quercus virginiana,Southern Live Oak,11,23,Good,ROW,,3111838.588039999827743,10071081.953199999406934
22995,4279,800 W 5TH ST,Ulmus crassifolia,Cedar Elm,8,23,Excellent,ROW,,3111675.499780000187457,10071124.070199999958277
22996,4280,800 W 5TH ST,Ulmus crassifolia,Cedar Elm,8,23,Good,ROW,,3111655.688140000216663,10071127.19649999961257
